,0
223,go one better  O
224,your  better  half
225,betwixt  and between
226,your  best bib and  tucker
227,bide  your  time
228,the  big
229,a  big cheese
230,big  deal Q
231,the  big  five
232,the  big lie
233,the  big smoke  Q
234,"the  big  Three,  Four,  etc."
235,give  someone the big e
236,make  it big
237,talk  big
238,think  big
239,too big for  your  boots
240,get  off  your  bike
241,1939  Herbert
242,bill  and coo
243,a  clean  bill  of health
244,fit  fill  the  bill
245,foot  the  bill
246,sell  someone a  bill  of goods
247, head the  bill
248,like  billy-o
249, bird  has flown
250, bird  in hand
251, bird  of  passage
252, bird's-eye  view
253, birds  and the bees
254,birds  of a  feather
255,do  bird
256,early  bird:
257,flip  someone the  bird
258,give  someone or get the  bird
259,have  a  bird
260,kill  two  birds  with one stone:
261, little  bird  told me
262,strictly  for the  birds
263,have  had the  biscuit
264,take  the  biscuit:
265, bit of all  right
266, of  fluff
267, skirt  stuff
268,bit  on the side Q
269,bits  and pieces
270,do  your  bit
271,get  the bit between  your  teeth
272,to  bits
273,bite  someone's head off
274,a  bite at the  cherry:
275,bite  the big one
276,1996  Tom  Clancy
277,bite  the bullet
278,1998  Joyce  Holms
279,bite  the dust  Qbe
280,bite  the hand  that  feeds you
281,1994  Warren  Farrell
282,bite  your  tongue
283,put  the bite on
284,1955  Ray  Lawler
285,take  a bite out of
286,the  biter  bit
287, could  have  bitten my tongue off
288,a  bitter  pill:
289,to the  bitter  end
290,beat  someone  black  and blue
291,be  in someone's  black  books
292,beyond  the  black  stump:
293,black  box
294,a  black  mark  against  someone
295,the  black  sheep
296,a  black  spot
297, the  black
298,in  black  and white  Qin
299,not  as  black  as you  are  painted
300,a  blank  cheque
301,draw  a  blank
302,firing  blanks
303,a  wet  blanket:
304,have  kissed the  blarney  stone
305,a  blast  from  the  past
306,blaze  a  trail
307,like  blazes
308,bleed  someone dry
309,1982  William
310,my  heart  bleeds for you
311, blind  alley
312, blind  spot  Q
313,blind  someone with science
314, the  blink  of an eye
315, the  blink
316,be  out  the
317,out  of the blue
318,scream  blue  murder:
319,talk  a blue  streak
320,true  blue
321,a  blue-eyed boy
322,blue-sky  research
323,call  someone's  bluff
324,spare  save someone's blushes
325,above  board
326,go by the  board
327,on  board
328,take  something on  board
329,tread  walk  the  boards
330,be  in the same boat
331,off  the boat
332,push  the boat out
333,rock  the boat
334,a  bone in  your  leg
335,close  to
336, near  the bone Q
337,have  a bone to  pick  with someone
338,in  your  bones
339,make  no bones about  something
340,not  a
341, bone in  your  body
342,point  the bone at
343,to the bone  0of
344,to  your  bones
345,work  your  fingers  to the bone
346,wouldn't  say boo to a goose
347,up  the booay
348,be  in someone's  black  books:
349,bring  someone to book
350,by  the book
351,close  the books
352,a  closed book:
353,cook  the  books:
354,make  open a book
355,on  the books
356,suit  someone's book
357,throw  the book at
358,boots  and all
359,the  boot is on the other foot
360,get  the boot
361,seven-league  boots
362,your  heart  sinks  into  your  boots
363,shake  your  booty
364, Eric  North
365,born  and  bred
366,born  in the  purple:
367, know you are  born
368,there's  one
369, wasn't  born  yesterday
370,borrow  trouble
371,living  on  borrowed  time
372,borrowed  plumes
373,show  someone who's boss
374,have  it both  ways
375,hit  be on the bottle
376,bounce  an idea off someone
377, and  scrape
378,make  your  bow
379,take  a bow  Qof
380, warning  shot  across  the bows
381,man  by
382,a  air
383,a  brick  a
384,as  as
385,it's as  as it's
386,buck  up  your  ideas
387,have  be bitten by the bug
388,built  on sand
389,like  a  bull  at a gate
390,like  a  bull  in a  china  shop
391, red rag to a  bull:
392,take  grab  the  bull  by the  horns
393,bully  for
394,bums  on seats
395,bumper-to-bumper  ©very
396,have  a bun in the oven
397,bunch  of fives ©a
398, bundle of  nerves:
399, a bag of  nerves
400, bundle of  fun
401,drop  your  bundle
402,go bung ©die.  or
403, white  man's  burden
404,give  it a  burl
405,burn  your  boats
406,burn  the candle at both ends
407,burn  daylight:
408,burn  your  fingers:
409,burn  the midnight oil
410,burn  rubber:
411,go for the  burn
412,have  money to  burn:
413,someone's  ears  are  burning:
414,slow  burn
415,1991  Barker
416,call  the shots
417,"don't  call  us, we'll  call  you"
418,good  call
419, bad  call
420,call  a spade a  spade:
421,open  up a can of  worms
422,burn  the candle at both  ends:
423,cannot  hold a  candle  to
424, worth  the  candle
425,paddle  your  own  canoe:
426, a  canter
427, a  canvas
428," the cap  fits,  wear  it"
429, your  cap at
430,with  a  capital
431,get  your  cards
432,have  a  card  up  your  sleeve
433,hold  all  the  cards
434,on  the  cards
435,play  the  —  card
436,play  your  cards  right
437,not  care  two  straws
438,a  magic  carpet
439,on  the  carpet  O
440,carrot  and  stick
441,carry  the can
442,in  the  cart
443, the  cart  before the  horse
444, on  get off someone's
445,cash  in hand
446, cast  mould
447,cast  something in someone's teeth
448,build  castles  in the
449, in  Spain
450, cats  grey  in the  dark
451, cat  look at a  king
452,fight  like  cat and dog
453,like  the cat  that's  got
454,like  a scalded
455, a cat in hell's  chance
456,play  cat and mouse with
457,see  which  way the cat  jumps
458,that  cat won't  jump
459,turn  cat in pan
460, the  catbird  seat
461, catch-22  situation
462,catch  the sun
463,catch  a  Tartar
464,1992  Neal  Stephenson
465,chew  the  fat
466,chew  the scenery
467,neither  chick  nor child
468,a  chicken-and-egg  problem
469,chickens  come home to roost
470,big  white chief
471,chief  cook and  bottle-washer
472,child's  play
473,keep  your  chin up
474,take  it on the chin
475,not  a  Chinaman's  chance
476,a  chink  in someone's  armour
477,a  chip off the old block
478,a  chip  on  your  shoulder
479,chop  and change
480,chop  logic
481,clean  someone's  clock
482,clean  house
483,clean  up  your  act
484,come  clean
485,keep  a clean sheet
486,keep  your  nose  clean:
487,make  a clean  breast  of something
488,make  a clean sweep Q
489,take  someone to the  cleaners
490,clear  the
491,clear  as mud
492,clear  the decks
493, the  clear
494, of a  clear  blue sky
495,too  clever  by  half
496,click  into place
497,click  your  fingers
498, climbing  the  walls
499, a  clip
500,clip  someone's wings
501,round  around  the  clock
502,turn  back  the  clock
503,watch  the  clock
504,close  to the bone:
505,close  the door on:
506,close  to home:
507,close  your  mind to:
508,close  ranks:
509,close  shave
510,close  to
511,too close to  call
512,behind  closed doors
513, silver  lining:
514,under  a cloud
515,with  your  head in the clouds
516,join  welcome  to the  club
517,drive  a coach and  horses  through
518,coals  to Newcastle
519,haul  someone  over  the  coals
520, the  coalface
521, coast is  clear
522, someone's  coat-tails
523,blow  clear  away  the cobwebs
524, cock-and-bull  story
525, full  cock:
526, half  cock:
527,cock  a snook
528,cock  of the  walk
529,cock  your  ear
530,knock  something into a cocked hat
531,warm  the cockles of someone's  heart
532, should cocoa  coco
533,1996  Melvin  Burgess
534,bring  something up to code
535,coign  of  vantage
536,1986  Dudley  Moore
537,the  other side of the coin
538, the  of the medal
539,to coin a  phrase
540,catch  a cold
541, catch  cold
542,as  cold as  charity
543,cold  comfort
544,cold  feet
545,in  the cold light of day
546,the  cold  shoulder
547,go cold  turkey
548,have  someone cold
549,leave  someone cold
550,left  out in the cold
551,pour  throw  cold  water  on
552,feel  someone's  collar
553,lend  give  colour  to
554,nail  your  colours  to the  mast
555,sail  under false  colours
556,show  your  true colours
557,come  the
558,come  it  over
559,come  it strong
560,come  of age:
561,come  off
562,come  the old soldier  over  someone
563,come  to that
564,come  to  think  of it
565,too  for comfort
566,have  it  coming  to you
567,where  someone is coming  from
568,go  commando
569,common  or  garden
570,the  common  touch
571,be  err  in good  company
572,compare  notes
573,return  the  compliment
574,jump  leap to  conclusions
575,conclusion  that
576,try  conclusions  with
577,be  set  in  concrete
578,a  name to  conjure  with
579,conspicuous  by  your  absence
580,a  conspiracy  of silence
581,to  your  heart's  content
582,no contest  O
583,contradiction  in  terms
584,within  cooee of
585,cook  the books
586,cook  on the  front  burner
587,cook  someone's goose
588,the  way the cookie  crumbles
589,with  your  hand in the cookie
590,cool  as a  cucumber
591,cool  your  heels:
592, a  fair  cop
593, the  cord
594,corn  in  Egypt
595,fight  your  corner
596, four  corners  of the  world
597, someone's  corner
598, corridors  of power
599,wrap  someone in cotton wool
600,couch  potato
601,on  the couch
602,a  counsel  despair
603,a  counsel  perfection
604,count  your  chickens
605,count  to ten
606,out  for the count
607,take  the count
608,out  countenance
609,go  counter
610,over  the  counter
611,under  the  counter
612,go  appeal  the  country
613,line  country
614,unknown  country
615,take  your  courage  in both hands
616,hold  court:
617,send  someone to Coventry
618,blow  someone's  cover
619,break  cover
620,cover  the  waterfront
621,1999  Tony  Parsons
622,cover  your  back
623,cover  your  tracks
624,have  a cow
625,1990  Susin  Nielsen
626,a  sacred  cow
627,till  the cows come home
628,catch  a  crab
629,crack  heads  together:
630,crack  a book
631,crack  a bottle
632,crack  a  crib
633,the  crack  of dawn
634,crack  of doom
635,a  fair  crack  of the whip
636,1989  T.  M.  Albert
637,cracked  up to be
638,1986  Willy  Russell
639,go  crackers
640,get  cracking
641,a  bit of  crackling
642,1968  Dickinson
643,cramp  someone's style
644,crash  and  burn
645,stick  in  your  craw
646,crazy  like  a fox
647,creature  of  habit
648,credit  where  credit  is due
649,give  someone the  creeps
650,1996  Roddy  Doyle
651,on  the  crest  of a  wave
652,not  cricket
653,put  a  crimp  in
654,burnt  to a  crisp:
655, burnt  to a  cinder
656,shed  weep  crocodile  tears
657,be  crook  on
658,go  crook
659,come  a  cropper  Q
660,crowning  glory
661,be  cruel  to be  kind
662,cruising  for  a  bruising
663,crumbs  from  someone's
664,when  if it comes to the  crunch
665,cry  foul
666,cry  from  the  heart
667,cry  over  spilt  milk:
668,cry  stinking  fish
669,in  full  cry
670,for  crying  out loud
671, Rebecca  West
672,crystal  clear  Q
673,cuckoo  in  the nest
674,chew  the cud Q
675,cudgel  your  brain
676,take  up the cudgels
677,take  your  cue  from
678, the  cuff
679, the  cuff  Oon
680,culture  vulture
681, your  cups
682, your  cup of tea
683, curate's  egg
684,make  your  blood  curdle:
685,curiosity  killed the cat
686,curl  the mo
687, of  curl
688,pass  current
689,curry  favour
690,bring  down the  curtain  on
691, cut out for  to be
692, and  dried
693, and  thrust  Qa
694, both  ways  O
695, the  crap
696, from  the same cloth
697, in  line
698, the  Gordian  knot
699,cut  it out
700,cut  loose
701,cut  your  losses
702,cut  the  mustard
703,cut  no ice
704,1973  Porter
705,the  cut of someone's  jib
706,cut  a
707,cut  someone some  slack:
708,cut  your  teeth
709,cut  up rough
710,have  your  work  cut out:
711,make  miss the cut
712,be  a dab hand at
713,at  daggers  drawn
714,look  daggers  at
715,fresh  as a  daisy
716,pushing  up the daisies
717,what's  the  damage?
718,as  near  as  dammit
719, damn  it
720,not  be  worth  a damn
721,do  try  your  damnedest
722,Damon  and  Pythias
723,a  damp squib
724,put  a
725, the  damper
726, dampener  on
727,damsel  in distress
728,dance  attendance on
729,dance  to someone's tune
730,lead  someone a merry dance
731,get  your  dander up
732,a  dark  horse
733,keep someone in the  dark
734,keep something  dark
735,a  shot
736, stab in the  dark
737,do  your  dash
738,go to  Davy  Jones's  locker
739, in a  day's  work
740,call  it a day
741,carry  the day
742, of  reckoning
743,don't  give up the day
744,from  day one
745, Christopher  Brookmyre
746, he  she is a day
747, of those  days
748, red  letter
749,seen  known  better  days
750,that  will  be the day
751,those  were  the  days
752,beat  the  living  daylights  out of
753,burn  daylight
754,see  daylight
755,dead  and  buried
756,dead  as a
757,a  dead cat bounce
758,dead  in the  water
759,a  dead  letter
760,dead  meat
761,dead  men's shoes:
762,the  dead of night
763,the  dead of  winter
764,dead  on  your  feet
765,dead  to the  world
766,from  the dead  O
767,make  a dead set at
768,over  my dead body
769,wouldn't  be seen
770, caught  dead in
771,deaf  as an  adder
772,fall  on deaf  ears
773, raw  rough  deal
774, square  deal
775, frightened  to death
776,catch  your  death  of  cold
777, a  death
778,©  1991
779,go off  go in off the deep end
780,in  deep  water
781,jump  be  thrown  in at the deep end
782,deliver  the goods
783,delusions  of  grandeur
784,like  a demon:
785,hidden  depths
786,out  of  your  depth
787,have  a  derry  on someone
788,1948  David  Ballantyne
789,get  receive  your  just  deserts
790,have  designs on
791,despite  yourself
792,1995  Ginu  Kamani
793,a  the deuce of a
794,1933  John  Galsworthy
795,the  deuce to pay
796,like  the deuce
797,leave  someone to  their  own devices
798,a  the devil of a
799, Katherine  Mansfield
800,the  devil's in the detail
801,the  devil's  own
802,1991  Mavis
803,the  devil to pay
804,give  the devil his due
805,like  the devil
806, a  demon
807,play  devil's  advocate
808,1994  Jude  Deveraux
809,play  the devil
810, Old  Harry  with
811,raise  the devil
812,sell  your  soul to the  devil:
813,speak  talk  of the devil
814,sup  dine with the devil
815,dialogue  of the deaf
816,diamond  cut  diamond
817,1863  Charles  Reade
818,dice  with death
819,load  the dice  against:
820,no  dice
821,1990  Paul  Auster
822,not  a  dicky  bird
823,have  swallowed a  dictionary
824,cut  didoes
825,die  hard
826,die  in  your  bed
827,die  in  harness
828,die  in the  last  ditch
829,the  die is  cast
830,die  like  flies:
831,die  on the  vine
832,die  on  your  feet
833,die  with  your  boots on
834,never  say die
835,straight  as a die
836,dig  the  dirt
837, dig up  dirt
838,dig  in  your  heels
839,dig  your  own  grave
840,1995  Colin  Bateman
841,dig  a pit for
842,beneath  your  dignity
843,stand  on  your  dignity
844,a  dime a dozen
845,get  off the dime
846,on  a dime  O
847,the  law of  diminishing  returns
848,dine  out on
849,1998  Fannie  Flagg
850,fair  dinkum  Q
851,done  like  a  dinner
852,1978  C.
853,by  dint of
854,dip  your  pen in  gall
855,do someone  dirt
856,treat  someone like  dirt
857, dirty  end of the  stick
858,get  your  hands  dirty
859,play  dirty
860, a  recipe  for  disaster
861,dish  the  dirt
862,within  spitting distance
863,take  a dive  Qof
864,divide  and  rule
865,divided  against itself
866,whistle  Dixie
867,do  your  head
868,do  die
869,dead  as a dodo:
870,dog-and-pony  show
871,1998  Rebecca  Ray
872,dog  in the  manger
873,the  dog's  bollocks
874,a  dog's life
875,1987  Fannie  Flagg
876,dog  tired
877,dogs  of  war  Q
878,dressed  up  like  a dog's  dinner
879,every  dog has his
880,give  a dog a bad name
881,help  a  lame  dog  over  a stile
882,in  a dog's age
883,keep  a dog and  bark  yourself
884,let  the dog see the  rabbit
885,let  sleeping dogs  lie:
886,like  a dog with two  tails
887,not  a dog's  chance
888,put  the dog
889,1962  Anthony  Gilbert
890,rain  cats  and dogs:
891,throw  someone to the dogs
892,lie  doggo
893,a  done deal
894,done  for
895,doom  and gloom
896,at  death's  door:
897,close  shut the door on
898,door  to door  Qof
899,lay  something at someone's door
900,leave  the door open for
901,open  the door to
902,show  someone the door
903,on  your  or  the  doorstep
904,in  small  doses
905,like  a dose of  salts
906,1991  Peter  Carey
907,dot  the i's and  cross  the t's
908,on  the dot
909,the  year  dot
910,at  on the double
911,double  or nothing
912,a  double-edged  sword
913,a  doubting  Thomas
914,flutter  the  dovecotes:
915,down  and  dirty
916,down  and out
917,down  in the mouth
918,down  on  your  luck
919,down  the  road
920,down  the tube
921,down  to the  ground
922,down  tools
923,have  a
924, downhill  all the way
925,drag  your  feet
926, plant  dragon's  teeth
927,down  the  drain
928,make  a  drama  out of
929,feel  the  draught
930,draw  someone's  fire
931,draw  the
932,draw  the  short  straw:
933,draw  stumps
934,bottom  drawer
935, the  drawing  board
936,beyond  your  wildest  dreams
937,dream  in  colour
938, your  dreams
939,like  a  dream
940,never  in  your  wildest  dreams
941,dressed  to  kill
942,drink  like  a fish
943,drink  someone  under  the  table
944, the  driver's
945, driving  seat
946,what  someone is  driving  at
947, Robert  Sproat
948, the  drop  of a hat
949,drop  your  aitches
950,drop  the  ball
951,drop  a  brick
952,drop  your  bundle
953,drop  a  clanger
954,drop  dead  Q
955,drop  the
956, Scott  Turow
957,needed  or
958,fit  ready to drop
959, up  be
960,get  have your ducks in a  row  get
961," in  need  of  help,"
962,take  to something  like  a  duck  to  water
963,like  water  off a  duck's  back
964,play  ducks  and  drakes  with
965,in  high dudgeon
966,dull  the edge of
967,sell  someone a  dummy
968,down  in the dumps
969,into  the  dumper
970,dust  and ashes
971,the  dust settles
972,gather  collect  dust
973,not  see someone for dust
974,raise  kick  up a dust
975,be  done and dusted
976,a  dusty  answer
977,Dutch  courage
978,a  Dutch uncle
979,that  beats  the Dutch
980,I'm  a  Dutchman
981,duty  bound
982,in  a  dwaal
983,dyed  in the wool
984,to  your  dying day
985,put  your  finger  in the dyke
986,an  eager  beaver
987,be  all  ears
988,dry  behind the  ears
989,fall  on deaf  ears:
990,have  someone's ear
991,have  something by the  ears
992,have  keep an  ear  to the ground
993,listen  with  half  an ear
994,out  on  your  ear
995,set by the  ears
996,someone's  ears  are flapping
997,up  to  your  ears  in
998,wet  behind the  ears
999,someone's  ears  are  burning
1000,early  bird
1001,early  doors
1002,it's  early  days
1003,take  an  early  bath  Obe
1004,earn  your  corn
1005, nice little  earner
1006,come  back  down to  earth
1007,someone  back  down to  earth
1008,like  nothing on  earth
1009,come  easy to
1010,"easy  come, easy go"
1011,easy  does it
1012,easy  meat
1013,have  it easy
1014,I'm  easy
1015, easy  virtue
1016,take  the easy way out
1017,take  it easy
1018,eat  someone  alive  Q
1019,eat  crow
1020,eat  dirt
1021,eat  someone's dust
1022,eat  your  heart  out  Q
1023,eat  your  words
1024,what's  eating you
1025, him  her?
1026,at  a low ebb
1027,ebb  and flow
1028,in  eclipse  Qof
1029,economical  with the  truth
1030,on  the edge of  your  seat
1031,take  the edge off something
1032,get  a  word  in edgeways
1033,effing  and  blinding
1034,don't  put all  your  eggs in one  basket
1035,go  suck  an egg
1036,lay  an egg
1037,sure  as eggs is eggs:
1038,with  egg on  your  face
1039,behind  the eight  ball
1040,one  over  the eight
1041,give  someone the elbow
1042,lift  your  elbow
1043,up  to  your  elbows in  Q
1044,in  out of  your  element
1045,see  the  elephant
1046,at  the eleventh  hour
1047,be  running  on  empty
1048,empty  nester
1049,empty  vessels  make  most noise
1050,the  big  enchilada
1051, whole  enchilada
1052, end of  your  tether
1053, end  justifies  the means
1054, end of  civilization  as we know it
1055, end of the  road
1056, of  story
1057, end of the  world
1058, the  wrong  end of the  stick:
1059,keep  hold  your  end up
1060,make  both ends meet
1061, end of  something
1062,a to  end
1063, your  own  worst  enemy
1064,enough  is as good as a feast
1065,enough  is enough
1066,enough  said
1067,push  the envelope
1068,épater  les  bourgeois
1069,first  among  equals
1070,other  things being  equal
1071, on the  right  side
1072,"to  human,  to  forgive  divine"
1073,the  Eternal  City
1074,eternal  triangle
1075,an  even  break
1076,even  Stephens
1077,get  be even with
1078,on an even keel  Qof
1079,it  was  ever  thus
1080,every  last
1081,every  man for himself
1082,every  which way
1083,the  evil  eye
1084,put  off the  evil  day
1085,exeunt  omnes
1086,make  an exhibition of  yourself
1087,what  can
1088, do you  expect?
1089,the  eye of a needle
1090,the  eye of the  storm  Q
1091,be  all
1092,get  keep  your  eye in
1093,close  shut  your
1094,eyes  out on  stalks
1095,give  someone the glad eye
1096,a  gleam in someone's eye:
1097,go  out
1098,half  an eye
1099,have  an eye for
1100,have  with  an eye for
1101,main  chance
1102,have  in the  back  of  your  head
1103,have  square  eyes:
1104,hit  someone in the eye
1105,keep  an eye out
1106, Robertson  Davies
1107,one  the eye for
1108, Scoular  Anderson
1109,'s-eye  view
1110, Ian  Hamilton
1111,shut  your  eyes to
1112, wilfully  ignorant
1113, Isidore  Okpewho
1114, to  your  eyes in
1115,grieve  over
1116,with  one eye on
1117, Craig  Thomas
1118,with  your  eyes open
1119, Salman  Rushdie
1120,with  your  eyes shut
1121,eyeball  to  eyeball
1122,give  someone the  hairy  eyeball
1123, to the  your  eyeballs
1124,raise  your  eyebrows
1125,cut your eye  cut your
1126,give your eye  for
1127,1930  W.  Somerset Maugham
1128, fair  crack
1129,fair's  fair
1130,away  with  the  fairies
1131,fall  off the  back  of a  lorry
1132,fall  short  of  Qof
1133,take  the  fall
1134, false  dawn
1135,sell  the  family  silver
1136,famous  for being  famous
1137,famous  for fifteen  minutes
1138,famous  last  words
1139,fancy  your
1140, someone's  chances
1141,be  a far  cry  from
1142,far  and  away
1143,far  be it  from
1144, for  me to
1145,"so  far,  so good"
1146,to a  fare-thee-well
1147,fast  and  furious
1148,play  fast  and loose
1149,in  the  fast  lane
1150,pull  a  fast  one
1151,the  fat is in the  fire
1152,live  off
1153, on the fat of the  land
1154,a  fate  worse  than  death
1155,seal  someone's fate
1156,"like  father,  like  son"
1157,kill  the fatted  calf
1158, to a  fault
1159,do me a  favour
1160,do someone a  favour
1161,favourite  son
1162,without  fear  favour
1163,feast  your  eyes on
1164,feast  of  reason
1165,feast  or  famine
1166, ghost  spectre  at the feast
1167, movable  feast
1168,a  feather  in  your  cap
1169,feather  your  own nest
1170,fed  up  to the teeth
1171, back  teeth
1172,feel  your  age
1173,feel  someone's  collar:
1174,feel  the  draught:
1175,feel  your  oats:
1176,feel  the  pinch:
1177,feel  the pulse of:
1178,in  at one  fell  swoop
1179,mend  fences:
1180,over  the fence
1181,sit  on the fence
1182,fetch  and  carry
1183,in  fine fettle
1184,few  and far between
1185,have  a few
1186,fiddle  while  Rome  burns
1187,fit  as a fiddle
1188,hang  up  your  fiddle
1189,on the  fiddle
1190,play  second fiddle to
1191,hold  the  field
1192,play  the  field
1193,something  fierce
1194,fifth  column
1195,take  the  fifth
1196, full  fig
1197, give  care  a  fig
1198,fight  fire  with  fire
1199,fight  a losing battle
1200,fight  or  flight
1201,fight  shy of
1202,figure  of fun
1203,1990  Richard  Critchfield
1204,fill  the bill:
1205,fill  someone's shoes
1206,"them  satisfactorily,"
1207,the final straw:  the last straw
1208,©1990  S. Naipaul
1209, Richard  Rayner
1210,"lament its  loss,"
1211,your  finest hour the time of
1212,'s finest the police of  specified
1213,2000  Nelson  DeMille
1214,burn  your  fingers
1215,cross  your fingers:
1216,prevaricating  and start to
1217,have  a  finger  in  every  pie
1218,have  a  finger  in the pie
1219,have  your  fingers  in the  till:
1220, a  finger  on
1221,point  the  finger
1222, something on the long  finger
1223, the  finger  on
1224, your  finger  on
1225,snap  click  your  fingers
1226,twist  wind
1227,your  little  finger
1228,your  fingers  itch
1229, your  fingertips
1230, your  fingertips
1231,to  your  fingertips
1232, fight  to the  finish
1233, finished  article
1234,breathe  fire
1235,catch  fire
1236,fire  and  brimstone
1237,fire  in the
1238, your  belly
1239,light  a  fire  under someone
1240,play  with  fire:
1241,set  the  world  on  fire:
1242,under  fire  Q
1243,where's  the  fire?
1244,firing  on all four  cylinders
1245,be  on  firm  ground
1246,a firm  hand
1247,"first  come,  first  served"
1248,first  off
1249,first  past the post  Qof
1250,first  thing
1251,first  things  first
1252,first  up  O
1253,of  the  first  order
1254,big  fish:
1255,drink  like a  fish:
1256,fish  in troubled  waters
1257,fish  or cut  bait
1258, Margaret  Weiss
1259,have  other
1260, bigger  fish to fry
1261, Gregory  Benford
1262, Laurie  Colwin
1263, kettle  of
1264,there  are  plenty  more  fish in the sea
1265,a  fishing  expedition
1266,an  iron  fist  in  velvet glove:
1267,hand  in a  velvet  glove
1268,make  a  —  fist
1269, the  the
1270,fit  for  the  gods
1271, a  glove:
1272,fit  to be tied
1273,1988  Joan  Smith
1274,fit  to bust
